 profundidade, Hreal, Himag, rho
  0.8500000000000000E+01, -0.7607704390438350E-01, -0.2146338383825714E-03,   1.0
  0.8600000381469727E+01, -0.7607725204122043E-01, -0.2192001180753798E-03,   1.0
  0.8699999809265137E+01, -0.7607745960894866E-01, -0.2233460483180482E-03,   1.0
  0.8800000190734863E+01, -0.7607766649893002E-01, -0.2271262355157910E-03,   1.0
  0.8899999618530273E+01, -0.7607787261372448E-01, -0.2305862044282869E-03,   1.0
  0.9000000000000000E+01, -0.7607807786567758E-01, -0.2337642109049362E-03,   1.0
  0.9100000381469727E+01, -0.7607828217573259E-01, -0.2366926372155308E-03,   1.0
  0.9199999809265137E+01, -0.7607848547242750E-01, -0.2393990779346178E-03,   1.0
  0.9300000190734863E+01, -0.7607868769104946E-01, -0.2419071935675977E-03,   1.0
  0.9399999618530273E+01, -0.7607888877290174E-01, -0.2442373878686401E-03,   1.0
  0.9500000000000000E+01, -0.7607908866468616E-01, -0.2464073499106498E-03,   1.0
  0.9600000381469727E+01, -0.7607928731795308E-01, -0.2484324913928507E-03,   1.0
  0.9699999809265137E+01, -0.7607948468863901E-01, -0.2503263020650627E-03,   1.0
  0.9800000190734863E+01, -0.7607968073664885E-01, -0.2521006406119477E-03,   1.0
  0.9899999618530273E+01, -0.7607987542549932E-01, -0.2537659742644644E-03,   1.0
  0.1000000000000000E+02, -0.7608006872199767E-01, -0.2553315773814502E-03,   1.0
  0.1010000038146973E+02, -0.7608026059596283E-01, -0.2568056969665006E-03,   1.0
  0.1019999980926514E+02, -0.7608045101997225E-01, -0.2581956913713182E-03,   1.0
  0.1030000019073486E+02, -0.7608063996914033E-01, -0.2595081471165106E-03,   1.0
  0.1039999961853027E+02, -0.7608082742091966E-01, -0.2607489777550654E-03,   1.0
  0.1050000000000000E+02, -0.7608101335491696E-01, -0.2619235079181247E-03,   1.0
  0.1060000038146973E+02, -0.7608119775273917E-01, -0.2630365450697494E-03,   1.0
  0.1069999980926514E+02, -0.7608138059784035E-01, -0.2640924410167744E-03,   1.0
  0.1080000019073486E+02, -0.7608156187539393E-01, -0.2650951448424610E-03,   1.0
  0.1089999961853027E+02, -0.7608174157217189E-01, -0.2660482486249697E-03,   1.0
